Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2019","2019","ha","2334000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0111","Wheat","2019","2019","100 g/ha","20951","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2019","2019","t","4890000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2020","2020","ha","2668000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0111","Wheat","2020","2020","100 g/ha","19434","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2020","2020","t","5185000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2021","2021","ha","1833357","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0111","Wheat","2021","2021","100 g/ha","21272","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2021","2021","t","3900000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0111","Wheat","2019","2019","ha","57330","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5419","Yield","0111","Wheat","2019","2019","100 g/ha","40680","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2019","2019","t","233218","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0111","Wheat","2020","2020","ha","53946","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5419","Yield","0111","Wheat","2020","2020","100 g/ha","43271","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2020","2020","t","233430","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0111","Wheat","2021","2021","ha","54514","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5419","Yield","0111","Wheat","2021","2021","100 g/ha","41305","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2021","2021","t","225170.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0111","Wheat","2019","2019","ha","1974987","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5419","Yield","0111","Wheat","2019","2019","100 g/ha","19630","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2019","2019","t","3876876","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0111","Wheat","2020","2020","ha","1848083","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5419","Yield","0111","Wheat","2020","2020","100 g/ha","16811","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2020","2020","t","3106754","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0111","Wheat","2021","2021","ha","1368702","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5419","Yield","0111","Wheat","2021","2021","100 g/ha","15843","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2021","2021","t","2168386","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0111","Wheat","2019","2019","ha","3333","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5419","Yield","0111","Wheat","2019","2019","100 g/ha","8838","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5510","Production","0111","Wheat","2019","2019","t","2945.33","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0111","Wheat","2020","2020","ha","3324","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5419","Yield","0111","Wheat","2020","2020","100 g/ha","8841","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5510","Production","0111","Wheat","2020","2020","t","2938.21","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0111","Wheat","2021","2021","ha","3299","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5419","Yield","0111","Wheat","2021","2021","100 g/ha","8930","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5510","Production","0111","Wheat","2021","2021","t","2945.7","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0111","Wheat","2019","2019","ha","6050953","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5419","Yield","0111","Wheat","2019","2019","100 g/ha","32160","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2019","2019","t","19459727","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0111","Wheat","2020","2020","ha","6729838","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5419","Yield","0111","Wheat","2020","2020","100 g/ha","29387","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2020","2020","t","19776942","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0111","Wheat","2021","2021","ha","6394102","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5419","Yield","0111","Wheat","2021","2021","100 g/ha","27595","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2021","2021","t","17644277","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5312","Area harvested","0111","Wheat","2019","2019","ha","57563","A","Official figure",""
